"Inglés","Español"
"2,2,2 Good Gazpacho","Gazpacho 2,2,2 Bueno"
"Air Fryer Sweet Potato Nachos","Nachos de Batata en Freidora de Aire"
"Air Fryer “Honey” BBQ Cauliflower Wings","Alitas de Coliflor BBQ con Miel en Freidora de Aire"
"Antipasto Salad","Ensalada Antipasto"
"Apple, Beet, and Carrot Slaw with blood Orange Vinaigrette","Ensalada de Manzana, Remolacha y Zanahoria con Vinagreta de Naranja Roja"
"Apple-Walnut Salad","Ensalada de Manzana y Nuez"
"Apple and Gorgonzola Cheese Salad","Ensalada de Manzana y Queso Gorgonzola"
"Apple Cider Honey Red Cabbage","Repollo Rojo con Sidra de Manzana y Miel"
"Artichokes with Garlic and Oil (Carciofi All’Aglio E Olio)","Alcachofas con Ajo y Aceite (Carciofi All’Aglio E Olio)"
"Arugula, Pear, Walnut & Pecorino Salad","Ensalada de Rúcula, Pera, Nuez y Pecorino"
"Arugula Salad with Mandarin Oranges","Ensalada de Rúcula con Naranjas Mandarina"
"Asian Chicken Salad","Ensalada Asiática de Pollo"
"Asian Edamame And Brown Rice Salad","Ensalada Asiática de Edamame y Arroz Integral"
"Asian Kale Slaw","Ensalada de Kale Asiática"
"Asian Tofu Stir-Fry","Salteado Asiático de Tofu"
"Asian Tuna Salad","Ensalada Asiática de Atún"
"Autumn Sheet Pan Veggies","Verduras de Otoño al Horno en Bandeja"
"Avocado-Cucumber Dip","Dip de Aguacate y Pepino"
"Avocado Alfredo with Zucchini Noodles","Alfredo de Aguacate con Tallarines de Calabacín"
"Avocado Summer Soup","Sopa de Aguacate de Verano"
"Avocado Veggie Sandwich","Sándwich de Aguacate y Verduras"
"Baby Artichokes with Herb Dressing","Alcachofas Baby con Aderezo de Hierbas"
"Baby Carrots and Spicy Cream Dip","Zanahorias Baby y Dip de Crema Picante"
"Baked Cauliflower Puree","Puré de Coliflor al Horno"
"Basic Tuscan Bean Soup","Sopa Básica de Frijoles Toscana"
"Basil Tomatoes","Tomates con Albahaca"
"Beef and Broccoli over Zucchini Noodles","Carne y Brócoli sobre Tallarines de Calabacín"
"Beet and Arugula Salad with Feta","Ensalada de Remolacha y Rúcula con Feta"
"Bell Pepper Poppers","Pimientos Rellenos"
"Better Mashed Potatoes","Puré de Patatas Mejorado"
"Bibb and Bean Burrito Bowl","Tazón de Burrito de Bibb y Frijol"
"Big Skillet Breakfast","Desayuno Grande en Sartén"
"Black Beans And Tomatoes With Lime","Frijoles Negros y Tomates con Lima"
"Black Bean and Corn Salad","Ensalada de Frijoles Negros y Maíz"
"Black Bean and Mango Salsa Lettuce Wraps","Rollitos de Lechuga con Salsa de Frijoles Negros y Mango"
"Black Bean Patties with Cilantro and Lime","Croquetas de Frijoles Negros con Cilantro y Lima"
"Blood Orange Salad (Insalata D’ Arrance Sangouse)","Ensalada de Naranja Roja (Insalata D’ Arrance Sangouse)"
"Bountiful Harvest Vegetable Salad","Ensalada de Verduras de Cosecha Abundante"
"Braised Brussels Sprouts With Pancetta","Coles de Bruselas Guisadas con Pancetta"
"Braised Cabbage With Apples","Repollo Guisado con Manzanas"
"Braised Fennel and White Beans","Hinojo y Frijoles Blancos Guisados"
"Breakfast Pizza","Pizza de Desayuno"
"Broccoli, Frozen & Cooked","Brócoli, Congelado y Cocido"
"Broccoli-Stuffed Sweet Potatoes","Batatas Rellenas de Brócoli"
"Broccoli Amandine","Brócoli Amandine"
"Broccoli and Apple Salad","Ensalada de Brócoli y Manzana"
"Broccoli and Mandarin Orange Salad","Ensalada de Brócoli y Naranja Mandarina"
"Broccoli and Spinach Salad with Blueberries and Buttermilk Dressing","Ensalada de Brócoli y Espinacas con Arándanos y Aderezo de Suero de Leche"
"Broccoli Cheese Bites","Bocaditos de Brócoli y Queso"
"Brown Rice And Edamame Salad","Ensalada de Arroz Integral y Edamame"
"Bruschetta-Stuffed Mushrooms","Champiñones Rellenos de Bruschetta"
"Bruschetta Stuffed Zucchini Boats","Barcos de Calabacín Rellenos de Bruschetta"
"Brussels Sprouts Slaw","Ensalada de Coles de Bruselas"
"Brussels Sprouts With Oranges","Coles de Bruselas con Naranjas"
"Brussels Sprout Salad with Avocado, Artichokes & Creamy Honey-Mustard Dressing","Ensalada de Coles de Bruselas con Aguacate, Alcachofas y Aderezo Cremoso de Miel y Mostaza"
"Budget-Friendly BBQ Chicken Salad","Ensalada de Pollo BBQ Económica"
"Budget-Friendly Hearty Cabbage Soup","Sopa de Repollo Sustanciosa Económica"
"Budget-Friendly Roasted Veggie Tacos","Tacos de Verduras Asadas Económicos"
"Budget-Friendly Stuffed Peppers","Pimientos Rellenos Económicos"
"Budget-Friendly Summer Vegetable Frittata","Frittata de Verduras de Verano Económica"
"Budget-Friendly Vegetable Stew with Whole Wheat Dumplings","Guiso de Verduras Económico con Albóndigas de Trigo Integral"
"Budget-Friendly Veggie Burgers with Mango Slaw","Hamburguesas de Verduras Económicas con Ensalada de Mango"
"Buffalo Chicken Legs with Blue Cheese Salad","Piernas de Pollo Buffalo con Ensalada de Queso Azul"
"Bulgur, Mint, And Tomatoes On Cucumber Rounds","Bulgur, Menta y Tomates sobre Rodajas de Pepino"
"Butternut Squash and Kale Soup","Sopa de Calabaza y Kale"
"Butternut Squash Gratin","Gratén de Calabaza"
"Butternut Squash Stew with Chickpeas","Guiso de Calabaza con Garbanzos"
"Butter Lettuce Salad With Pears, Bacon, And Cilantro","Ensalada de Lechuga Butter con Peras, Tocino y Cilantro"
"Cabbage Salad","Ensalada de Repollo"
"Caesar-Style Salad with Rustic Croutons","Ensalada Estilo César con Crutones Rústicos"
"Cajun Grains","Granos Cajún"
"Caprese Kabobs","Brochetas Caprese"
"Cauliflower Fried \"Rice\"","Arroz Frito de Coliflor"
"Cauliflower \"Mac\" and Cheese with Lobster","Macarrones y Queso de Coliflor con Langosta"
"Cauliflower \"Rice\" Salad","Ensalada de \"Arroz\" de Coliflor"
"Cauliflower Tabbouleh","Tabbouleh de Coliflor"
"Cauliflower with Pancetta and Onions","Coliflor con Pancetta y Cebollas"
"Chana (Chickpea) Masala","Masala de Chana (Garbanzos)"
"Cheddar Cheese and Broccoli Soup","Sopa de Queso Cheddar y Brócoli"
"Cheese and Veggie Pitas","Pitas de Queso y Verduras"
"Cheesy Cauliflower Tots","Tots de Coliflor con Queso"
"Cheesy Chicken, Brussel Sprouts & Mushroom Bake","Horno de Pollo, Coles de Bruselas y Champiñones con Queso"
"Chicken, Pasta, And Spinach Soup","Sopa de Pollo, Pasta y Espinacas"
"Chicken & Apple-Sage Pan Sauce with Roasted Brussels Sprouts, Carrots & Turnip","Salsa de Pan de Pollo, Manzana y Salvia con Coles de Bruselas Asadas, Zanahorias y Nabos"
"Chicken and Cucumber Lettuce Wraps with Peanut Sauce","Rollitos de Lechuga con Pollo y Pepino con Salsa de Cacahuate"
"Chicken and Spinach Enchiladas","Enchiladas de Pollo y Espinacas"
"Chicken and Vegetable Soup","Sopa de Pollo y Verduras"
"Chicken Caesar Salad Lunch Wraps","Wraps de Ensalada César de Pollo para Almuerzo"
"Chicken Kale Salad with Fresh Ginger Dressing","Ensalada de Kale y Pollo con Aderezo de Jengibre Fresco"
"Chicken Salad with Strawberries","Ensalada de Pollo con Fresas"
"Chickpea Pasta with Roasted Vegetables","Pasta de Garbanzo con Verduras Asadas"
"Chickpea Patties With Mango Chutney","Croquetas de Garbanzo con Chutney de Mango"
"Chickpea Tabbouleh","Tabbouleh de Garbanzo"
"Chili-Roasted Shallots and Brussels Sprouts","Chalotas y Coles de Bruselas Asadas con Chile"
"Chilled Persian Cucumber Soup with Chives","Sopa Fría de Pepino Persa con Cebollín"
"Chilled Tarragon and Tomato Soup","Sopa Fría de Estragón y Tomate"
"Chinese Five-Spice Kale Chips","Chips de Kale con Cinco Especias Chinas"
"Chopped Black Bean Chicken Salad","Ensalada Picada de Pollo y Frijoles Negros"
"Chopped Mexican Salad with Lime","Ensalada Mexicana Picada con Lima"
"Chopped Salad with Cilantro Lime Dressing","Ensalada Picada con Aderezo de Cilantro y Lima"
"Chopped Veggie Salad with Feta","Ensalada Picada de Verduras con Feta"
"Citrus-Tarragon Chicken Kabobs","Brochetas de Pollo con Cítricos y Estragón"
"Citrus Mahi-Mahi Packet with Broccoli","Paquete de Mahi-Mahi con Cítricos y Brócoli"
"Classic Italian Marinara","Marinara Italiana Clásica"
"Classic Italian Panzanella Salad","Ensalada Panzanella Italiana Clásica"
"Collard Greens with Yellow Squash","Verduras Collard con Calabaza Amarilla"
"Colorful Pasta Salad","Ensalada de Pasta Colorida"
"Corn, Tomato, Pea and Dill Salad","Ensalada de Maíz, Tomate, Guisantes y Eneldo"
"Corn and Zucchini Tacos","Tacos de Maíz y Calabacín"
"Corn Bhutta (Roasted Corn on the Cob)","Bhutta de Maíz (Elote Asado)"
"Country Stuffed Summer Squash","Calabazas de Verano Rellenas Estilo Campestre"
"Cranberry Almond Spinach Salad","Ensalada de Espinaca con Arándanos y Almendra"
"Creamy Chicken & Broccoli Basil Pesto Salad","Ensalada Cremosa de Pollo, Brócoli y Pesto de Albahaca"
"Creole Red Bean Ratatouille","Ratatouille de Frijoles Rojos Criolla"
"Crispy Asian Kale","Kale Asiático Crujiente"
"Crispy Baked Broccoli","Brócoli al Horno Crujiente"
"Crock Pot Moo Shu Chicken","Pollo Moo Shu en Crock Pot"
"Crunchy Asian Salad","Ensalada Asiática Crujiente"
"Crunchy Quinoa Stuffed Zucchini","Calabacín Relleno de Quinoa Crujiente"
"Cubano Roasted Broccoli Florets","Ramilletes de Brócoli Asado Cubano"
"Cucumber and Onion Salad","Ensalada de Pepino y Cebolla"
"Curried Chickpea Stew with Roasted Vegetables","Guiso de Garbanzo al Curry con Verduras Asadas"
"Curried Roasted Beet Hummus","Hummus de Remolacha Asada al Curry"
"Easy Garlic Bok Choy","Bok Choy al Ajo Fácil"
"Easy Middle Eastern Green Beans","Judías Verdes del Medio Oriente Fáciles"
"Eggplant and Chickpea Stew","Guiso de Berenjena y Garbanzo"
"Eggplant Lasagna Roulades","Roulades de Lasaña de Berenjena"
"Eggplant With Roasted Red Bell Pepper Relish","Berenjena con Relish de Pimiento Rojo Asado"
"Ensalada de Zanahoria & Col","Ensalada de Zanahoria y Repollo"
"Ensalada de zanahoria y col","Ensalada de Zanahoria y Repollo"
"Fanned Avocado Salad","Ensalada de Aguacate en Abanico"
"Farmhouse Vegetable and Farro Soup (Zuppa Di Verdure E Farro)","Sopa de Verduras y Farro Estilo Granjero (Zuppa Di Verdure E Farro)"
"Farro, Edamame, And Dried Cranberry Salad","Ensalada de Farro, Edamame y Arándanos Secos"
"Favorite Vegetable Soup","Sopa de Verduras Favorita"
"Feelin’ Your Oats Burgers","Hamburguesas de Avena Feelin’ Your Oats"
"Fennel, Radish, and Orange Salad","Ensalada de Hinojo, Rábano y Naranja"
"Fillet with Shallot, Zucchini & Tomato","Filete con Chalota, Calabacín y Tomate"
"Fresh Black Bean Salsa","Salsa Fresca de Frijoles Negros"
"Fresh Corn, Tomato, And Avocado Salad With Shrimp","Ensalada Fresca de Maíz, Tomate y Aguacate con Camarones"
"Fresh Corn Salad With Tomatoes And Basil","Ensalada de Maíz Fresco con Tomates y Albahaca"
"Fresh Tomato Sauce","Salsa de Tomate Fresca"
"Fresh Vegetable Summer Rolls","Rollitos de Verano de Verduras Frescas"
"Garbanzo Bean and Arugula Salad","Ensalada de Garbanzo y Rúcula"
"Garbanzo Bean Salad Quick Recipe","Receta Rápida de Ensalada de Garbanzo"
"Garden Caprese Salad","Ensalada Caprese del Jardín"
"Garden Harvest Soup","Sopa de Cosecha del Jardín"
"Garden Veggie and White Bean Chili","Chili de Verduras del Jardín y Frijoles Blancos"
"Garlicky Ginger Eggplant","Berenjena con Ajo y Jengibre"
"Garlicky Sautéed Spinach","Espinacas Salteadas con Ajo"
"Garlic Sautéed Spinach and Kale","Espinacas y Kale Salteados con Ajo"
"Garlic Shrimp on a Cucumber Flower","Camarones al Ajo en una Flor de Pepino"
"Gluten-Free Chicken Salad Wrap","Wrap de Ensalada de Pollo sin Gluten"
"Grape Tomato Succotash","Succotash de Tomate Uva"
"Greek-Style Pork Roast & Tzatziki with Lemon-Garlic Vegetables","Asado de Cerdo Estilo Griego y Tzatziki con Verduras de Limón y Ajo"
"Greek Bean and Vegetable Soup","Sopa Griega de Frijoles y Verduras"
"Greek Bean Salad","Ensalada Griega de Frijoles"
"Greek Chicken Salad","Ensalada Griega de Pollo"
"Greek Orzo Salad with Peas, Lemon and Kalamata Olives","Ensalada Griega de Orzo con Guisantes, Limón y Aceitunas Kalamata"
"Greek Quinoa Salad","Ensalada Griega de Quinoa"
"Greek Salmon and Veggie Packets","Paquetes de Salmón y Verduras Griegas"
"Greek Vegetable Pita Pizzas","Pizzas de Pita con Verduras Griegas"
"Green Beans With Cranberries and Hazelnuts","Judías Verdes con Arándanos y Avellanas"
"Green Beans with Mushrooms and Onions","Judías Verdes con Champiñones y Cebollas"
"Green Bean \"Fries\"","\"Papas Fritas\" de Judías Verdes"
"Green Salad with Orange, Avocado, and Onion","Ensalada Verde con Naranja, Aguacate y Cebolla"
"Green Salad with Raspberry Vinaigrette","Ensalada Verde con Vinagreta de Frambuesa"
"Green Vegetable Egg \"Tortilla\"","\"Tortilla\" de Huevo con Verduras Verdes"
"Grilled Cheesy Eggplant","Berenjena a la Parrilla con Queso"
"Grilled Chicken Caesar Kabobs","Brochetas de Pollo a la Parrilla Estilo César"
"Grilled Chicken Salad With Candied Pecans","Ensalada de Pollo a la Parrilla con Pacanas Confitadas"
"Grilled Chicken Sausage with Zucchini and Peppers","Salchicha de Pollo a la Parrilla con Calabacín y Pimientos"
"Grilled Corn with Chile and Lime","Elote a la Parrilla con Chile y Lima"
"Grilled Portabellas with Tomato and Tuscan Herbs","Portabellas a la Parrilla con Tomate y Hierbas Toscana"
"Grilled Romaine Hearts With Champagne-Mustard Vinaigrette","Corazones de Lechuga Romana a la Parrilla con Vinagreta de Champagne y Mostaza"
"Grilled Salmon and Avocado Salad","Ensalada de Salmón a la Parrilla y Aguacate"
"Grilled Seafood and Quinoa Salad with Mango and Avocado","Ensalada de Mariscos y Quinoa a la Parrilla con Mango y Aguacate"
"Grilled Sesame Asparagus","Espárragos al Sésamo a la Parrilla"
"Grilled Steak Salad","Ensalada de Bistec a la Parrilla"
"Grilled Steak with Mushrooms","Bistec a la Parrilla con Champiñones"
"Grilled Summer Veggies with Herb Dressing","Verduras de Verano a la Parrilla con Aderezo de Hierbas"
"Grilled Teriyaki Tuna Packet","Paquete de Atún Teriyaki a la Parrilla"
"Grilled Vegetable Napoleon","Napoleón de Verduras a la Parrilla"
"Grilled Vegetable Pasta Salad","Ensalada de Pasta con Verduras a la Parrilla"
"Grilled Vegetable Pizza","Pizza de Verduras a la Parrilla"
"Grilled Veggie Wrap","Wrap de Verduras a la Parrilla"
"Grilled Zucchini with Feta Cheese","Calabacín a la Parrilla con Queso Feta"
"Guacamole Stuffed Cherry Tomatoes","Tomates Cherry Rellenos de Guacamole"
"Ham and Edamame Chop Salad","Ensalada de Jamón y Edamame Picado"
"Hara Freekeh Tahiri","Hara Freekeh Tahiri"
"Hawaiian Shaved Brussels Sprouts","Coles de Bruselas Ralladas al Estilo Hawaiano"
"Herbed Panko Asparagus Spears","Espárragos con Panko y Hierbas"
"Herby Bean Dip","Dip de Frijoles con Hierbas"
"Holiday Brussels Sprouts with Cranberries","Coles de Bruselas Festivas con Arándanos"
"Holiday Veggie Platter with Hummus – Quick Recipe","Plato de Verduras Festivo con Hummus – Receta Rápida"
"Indian Vegetable Curry","Curry de Verduras Indio"
"Ingrid Hoffmann's Veggie-Stuffed Poblanos","Poblanos Rellenos de Verduras de Ingrid Hoffmann"
"Instant Pot Asian Spaghetti Squash","Calabaza Espagueti Asiática en Instant Pot"
"Instant Pot Chicken Curry Salad","Ensalada de Curry de Pollo en Instant Pot"
"Instant Pot Vegetarian Thai Mushroom Soup","Sopa Vegetariana Thai de Champiñones en Instant Pot"
"Instant Pot Wheat Berry, Black Bean, and Avocado Salad","Ensalada de Trigo Entero, Frijoles Negros y Aguacate en Instant Pot"
"Italian-Style Blistered Tomatoes","Tomates Chispeados al Estilo Italiano"
"Italian Salsa Salad","Ensalada de Salsa Italiana"
"Italian Tomato-Basil Soup","Sopa de Tomate y Albahaca Italiana"
"Japanese Cucumber Salad","Ensalada Japonesa de Pepino"
"Kale and Quinoa Salad","Ensalada de Kale y Quinoa"
"Kale Apple Slaw","Ensalada de Kale y Manzana"
"Kale Soup with Turkey and Beans","Sopa de Kale con Pavo y Frijoles"
"Lemon-Mint Sugar Snap Peas","Guisantes Dulces con Limón y Menta"
"Lentils and Greens with Apples","Lentejas y Verduras Verdes con Manzanas"
"Lentil Bruschetta","Bruschetta de Lentejas"
"Lentil Salad","Ensalada de Lentejas"
"Light And Fluffy Spinach And Cheese Strata","Strata Ligera y Esponjosa de Espinaca y Queso"
"Low-Sodium Sugar-Free Pickles","Pepinillos sin Azúcar y Bajos en Sodio"
"Low Carb Chicken and Zucchini Casserole","Cazuela de Pollo y Calabacín Baja en Carbohidratos"
